Test,Test No.,Item,Result,Units,Variant,Syringe
Undelivered Volume,21,46,0.018247443,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,21,47,0.024864648,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,21,48,0.022959695,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,21,49,0.022458392,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,21,50,0.010627632,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,21,51,0.016141969,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,21,52,0.006516944,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,21,53,0.008722679,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,21,54,0.019149789,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,21,55,0.028273511,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,21,56,0.028574293,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,21,57,0.011730499,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,21,58,0.012231803,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,21,59,0.023260477,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,21,60,0.021455785,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,1,0.006015641,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,2,0.007720072,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,3,0.007619812,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,4,0.0089232,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,5,0.00741929,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,6,0.012031281,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,7,0.010226589,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,8,0.014437538,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,9,0.015640666,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,10,0.013535191,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,11,0.011630239,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,12,0.01483858,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,13,0.009524764,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,14,0.008321636,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,15,0.016543012,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,16,0.006316423,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,17,0.008722679,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,18,0.010527371,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,19,0.013535191,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,20,0.007720072,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,21,0.009825546,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,22,0.019550832,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,23,0.006015641,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,24,0.008020854,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,25,0.005514337,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,26,0.012933627,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,27,0.009023461,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,28,0.01042711,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,29,0.007820333,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,30,0.007319029,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,31,0.011730499,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,32,0.015540405,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,33,0.010627632,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,34,0.013535191,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,28,35,0.010527371,ml,N/A,27G Nipro D2F eNable 1ml Long <br>with West 2212 PH 701/50 C
Undelivered Volume,29,1,0.009213821,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,2,0.005508262,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,3,0.012819229,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,4,0.005408112,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,5,0.005408112,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,6,0.007310966,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,7,0.007911868,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,8,0.005808713,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,9,0.007010516,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,10,0.009113671,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,11,0.010515774,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,12,0.006209314,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,13,0.009714572,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,14,0.009914872,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,15,0.00891337,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,16,0.011517276,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,17,0.005608413,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,18,0.007611417,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,19,0.007611417,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,20,0.006609915,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,21,0.008012018,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,22,0.009414121,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,23,0.010015023,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,24,0.007511267,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,25,0.010415623,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,26,0.006810215,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,27,0.00891337,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,28,0.004006009,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,29,0.006309464,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,30,0.006209314,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,31,0.006209314,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,32,0.009113671,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,33,0.006309464,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,34,0.006910366,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,29,35,0.008212318,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,1,0.01352028,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,2,0.02203305,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,3,0.018327491,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,4,0.021231848,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,5,0.015222834,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,6,0.007811718,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,7,0.007110666,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,8,0.009614422,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,9,0.009113671,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,10,0.018427641,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,11,0.018127191,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,12,0.007411117,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,13,0.017526289,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,14,0.00871307,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,15,0.010415623,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,16,0.004807211,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,17,0.010015023,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,18,0.007811718,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,19,0.008512769,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,20,0.00871307,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,21,0.008612919,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,22,0.009213821,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,23,0.011917877,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,24,0.007811718,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,25,0.009514271,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,26,0.005007511,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,27,0.01311968,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,28,0.02684026,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,29,0.006810215,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,30,0.012719079,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,31,0.016124186,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,32,0.010415623,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,33,0.017125689,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,34,0.007010516,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,35,0.021031547,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,36,0.025237857,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,37,0.009113671,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,38,0.003605408,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,39,0.008012018,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,40,0.012418628,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,41,0.006810215,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,42,0.008212318,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,43,0.017526289,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,44,0.001802704,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,45,0.007411117,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,46,0.009313971,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,47,0.01342013,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,48,0.016925388,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,49,0.006309464,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,50,0.011316975,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,51,0.007411117,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,52,0.008412619,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,53,0.007010516,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,54,0.007411117,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,55,0.005908863,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,56,0.008012018,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,57,0.019829745,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,58,0.004807211,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,59,0.007210816,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,30,60,0.022533801,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,1,0.03729987,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,2,0.030116833,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,3,0.078407616,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,4,0.075984422,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,5,0.05478148,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,6,0.059281696,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,7,0.047684985,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,8,0.053050627,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,9,0.028126352,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,10,0.045781047,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,11,0.069666811,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,12,0.048723496,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,13,0.073388144,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,14,0.030982259,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,15,0.044915621,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,16,0.078667244,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,17,0.085504111,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,18,0.063003029,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,19,0.060579836,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,20,0.079792298,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,21,0.059195154,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,22,0.050454349,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,23,0.045694505,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,24,0.053050627,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,25,0.053310255,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,26,0.049588923,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,27,0.038338382,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,28,0.052964085,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,29,0.045954132,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,30,0.048896582,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,31,0.036780614,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,32,0.039723064,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,33,0.055041108,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,34,0.062483773,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Undelivered Volume,31,35,0.068455214,ml,N/A,27G Plajex Terumo 1ml Long<br>with Terumo 1ml Long Plunger Stopper
Shroud Activation Force,1,1,10.36,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,2,8.65,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,3,11.24,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,4,9.6,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,5,9.3,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,6,9.92,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,7,9,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,8,9.64,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,9,8.52,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,10,8.8,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,11,9.95,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,12,10.05,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,13,9.32,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,14,9.5,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,15,8.44,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,16,8.52,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,17,8.35,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,18,12.4,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,19,10.15,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,20,10.1,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,21,11.55,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,22,10.04,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,23,11.48,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,24,12.92,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,25,13.7,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,26,10.84,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,27,14,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,28,9.4,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,29,7.25,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,30,9.28,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,31,13.08,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,32,11.44,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,33,7.64,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,34,10.65,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,1,35,7.35,N,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Shroud Activation Force,6,1,5.88,N,N/A,29G BD Hypak SCF 1ml<br>with BD Hypak 1ml Stopper
Shroud Activation Force,6,2,5.36,N,N/A,29G BD Hypak SCF 1ml<br>with BD Hypak 1ml Stopper
Shroud Activation Force,6,3,4.68,N,N/A,29G BD Hypak SCF 1ml<br>with BD Hypak 1ml Stopper
Shroud Activation Force,6,4,5.04,N,N/A,29G BD Hypak SCF 1ml<br>with BD Hypak 1ml Stopper
Shroud Activation Force,6,5,5.08,N,N/A,29G BD Hypak SCF 1ml<br>with BD Hypak 1ml Stopper
Shroud Activation Force,6,6,5.4,N,N/A,29G BD Hypak SCF 1ml<br>with BD Hypak 1ml Stopper
Shroud Activation Force,6,7,5.16,N,N/A,29G BD Hypak SCF 1ml<br>with BD Hypak 1ml Stopper
Shroud Activation Force,6,8,5.65,N,N/A,29G BD Hypak SCF 1ml<br>with BD Hypak 1ml Stopper
